fecha,demanda
2011-07-19,162456467.42
2011-07-20,145989078.16
2011-07-21,164223183.64999998
2011-07-22,166005716.31
2011-07-23,155170283.52999997
2011-07-24,138666345.30999997
2011-07-25,163941270.58
2011-07-26,164830252.33
2011-07-27,166626149.82000005
2011-07-28,164280218.72
2011-07-29,159937000.23000002
2011-07-30,146817963.97
2011-07-31,132341159.57999995
2011-08-01,157497608.60000002
2011-08-02,162420547.70999995
2011-08-03,163881826.54999998
2011-08-04,163848529.68
2011-08-05,165197387.19
2011-08-06,155848413.42999998
2011-08-07,137773398.24
2011-08-08,166612426.18000004
2011-08-09,168247615.66000006
2011-08-10,168457595.79
2011-08-11,167906086.34
2011-08-12,163591642.1
2011-08-13,154831237.91
2011-08-14,135638487.48
2011-08-15,139608143.10999998
2011-08-16,162670227.11000004
2011-08-17,166653232.83
2011-08-18,166999355.65
2011-08-19,166921688.83
2011-08-20,155717080.48
2011-08-21,138182033.26
2011-08-22,164161967.7
2011-08-23,165494148.33
2011-08-24,165176088.10999998
2011-08-25,167149944.77999997
2011-08-26,167867040.5
2011-08-27,155626535.10999998
2011-08-28,139038297.86
2011-08-29,162765533.58
2011-08-30,167967839.35
2011-08-31,167678098.04999998
2011-09-01,165109641.99
2011-09-02,163188264.93
2011-09-03,152322114.35999998
2011-09-04,134995836.15
2011-09-05,164616858.02
2011-09-06,168732342.01999995
2011-09-07,169129235.32000002
2011-09-08,166305433.72000003
2011-09-09,164939678.23
2011-09-10,153828586.08
2011-09-11,136297362.82999998
2011-09-12,164781183.21
2011-09-13,170081449.38000003
2011-09-14,170028718.06999996
2011-09-15,172060556.65000004
2011-09-16,169980575.75
2011-09-17,160336027.22
2011-09-18,141933194.77999997
2011-09-19,166614350.99
2011-09-20,166229443.48999998
2011-09-21,167398044.10999998
2011-09-22,170699071.13
2011-09-23,173861560.69
2011-09-24,165278235.02
2011-09-25,139845435.29000002
2011-09-26,163269701.39999998
2011-09-27,165234358.59999993
2011-09-28,169840712.41999996
2011-09-29,168272239.64
2011-09-30,166808993.78
2011-10-01,156060941.95
2011-10-02,141016813.76
2011-10-03,166242044.91999996
2011-10-04,167277863.54999998
2011-10-05,165742574.18
2011-10-06,166830252.35
2011-10-07,166985810.61
2011-10-08,154819254.72
2011-10-09,137070494.64
2011-10-10,162351270.8
2011-10-11,163099455.95000002
2011-10-12,163261040.62000006
2011-10-13,164474265.52
2011-10-14,168869213.19
2011-10-15,157528686.26999998
2011-10-16,139144645.36999997
2011-10-17,145033257.36
2011-10-18,160162806.92000002
2011-10-19,169660365.77
2011-10-20,168257142.85
2011-10-21,166345601.26999998
2011-10-22,157722297.46000004
2011-10-23,143541907.34
2011-10-24,168073103.01999992
2011-10-25,173240922.78000003
2011-10-26,170601690.42000002
2011-10-27,170964522.18000004
2011-10-28,170315742.78
2011-10-29,152116485.52999997
2011-10-30,131116498.99
2011-10-31,159420920.81999996
2011-11-01,166212469.95000005
2011-11-02,167483756.35999995
2011-11-03,168659954.44000003
2011-11-04,170085436.79000002
2011-11-05,161170864.33
2011-11-06,145543962.40000004
2011-11-07,148586225.82999995
2011-11-08,169604931.92999998
2011-11-09,169849607.99000004
2011-11-10,167043317.37
2011-11-11,167901982.09
2011-11-12,155424437.88
2011-11-13,136219190.27
2011-11-14,147025356.75
2011-11-15,168398654.57
2011-11-16,172527343.3
2011-11-17,172208266.03999996
2011-11-18,170780120.14
2011-11-19,164638118.33999997
2011-11-20,148316189.49000004
2011-11-21,172700566.64000002
2011-11-22,174590198.27
2011-11-23,174943150.94
2011-11-24,172931853.82999998
2011-11-25,175623866.62000003
2011-11-26,166365165.82
2011-11-27,149334177.38
2011-11-28,170674970.52
2011-11-29,166048908.85000002
2011-11-30,161824262.35999998
2011-12-01,161092100.87000003
2011-12-02,167327182.24999997
2011-12-03,159327654.9
2011-12-04,147372676.95
2011-12-05,170225062.76
2011-12-06,172677882.83
2011-12-07,172025000.06000003
2011-12-08,153389905.59
2011-12-09,171845282.26999998
2011-12-10,166721528.9
2011-12-11,151364266.73
2011-12-12,169662328.89
2011-12-13,174912867.26999998
2011-12-14,165771456.14999998
2011-12-15,163105413.81000003
2011-12-16,161575304.05000004
2011-12-17,151025040.73
2011-12-18,138648285.54999998
2011-12-19,161827899.86
2011-12-20,164143211.05999997
2011-12-21,164633063.06999996
2011-12-22,165186878.35000002
2011-12-23,161583728.85
2011-12-24,144011563.25999996
2011-12-25,125640979.32000001
2011-12-26,154777958.12000003
2011-12-27,158222307.10000002
2011-12-28,160182038.10999998
2011-12-29,158571210.26999998
2011-12-30,154102655.0
2011-12-31,139533814.82
2012-01-01,120802656.75
2012-01-02,144414340.24
2012-01-03,152169073.69999996
2012-01-04,154309483.65
2012-01-05,155173077.66000003
2012-01-06,155960065.76
2012-01-07,149353391.49
2012-01-08,133142861.27999997
2012-01-09,135587239.05
2012-01-10,158646401.0
2012-01-11,160899397.51
2012-01-12,163935912.26
2012-01-13,164974244.52000004
2012-01-14,155099679.32
2012-01-15,137077828.82
2012-01-16,159524218.85
2012-01-17,160724852.85
2012-01-18,161410316.5
2012-01-19,160507942.23000002
2012-01-20,160589807.52
2012-01-21,151650896.14000002
2012-01-22,134765875.16
2012-01-23,159367614.86
2012-01-24,159976386.07999998
2012-01-25,161464906.66
2012-01-26,161534175.16
2012-01-27,162055218.56
2012-01-28,153673643.02
2012-01-29,136349256.44
2012-01-30,159375389.83
2012-01-31,161871154.23000002
2012-02-01,160108487.46
2012-02-02,161902965.29000002
2012-02-03,162023206.26000002
2012-02-04,153718243.68
2012-02-05,135395541.15
2012-02-06,159923475.04999998
2012-02-07,162496487.68
2012-02-08,162966635.23999998
2012-02-09,162486371.67999998
2012-02-10,163132679.47999996
2012-02-11,153885648.02
2012-02-12,135905578.26
2012-02-13,161849670.69
2012-02-14,163829236.78
2012-02-15,162644443.66999996
2012-02-16,162952947.54999998
2012-02-17,162250515.5
2012-02-18,152333144.37
2012-02-19,134820973.52999997
2012-02-20,157949317.59
2012-02-21,161913290.48999998
2012-02-22,164277346.38999996
2012-02-23,164899125.34000003
2012-02-24,166356889.2
2012-02-25,156305102.79
2012-02-26,139534583.26
2012-02-27,164172109.36
2012-02-28,166533341.69
2012-02-29,166119312.99
2012-03-01,166177865.81000003
2012-03-02,168375018.79
2012-03-03,157289199.35999998
2012-03-04,140608474.23999998
2012-03-05,165426168.89000002
2012-03-06,167526293.52000004
2012-03-07,168957065.67999998
2012-03-08,168000195.48999998
2012-03-09,167640535.49
2012-03-10,157015450.83
2012-03-11,139891370.35999998
2012-03-12,164714138.3
2012-03-13,165140886.69
2012-03-14,166291168.05
2012-03-15,169182285.52
2012-03-16,168593317.92000002
2012-03-17,156337141.06
2012-03-18,137153181.38999996
2012-03-19,140519703.91000003
2012-03-20,163559124.95
2012-03-21,165614562.43
2012-03-22,164950688.97
2012-03-23,165777062.6
2012-03-24,156063886.63
2012-03-25,138835368.53
2012-03-26,163922371.43
2012-03-27,166678117.19000003
2012-03-28,167369142.82999998
2012-03-29,168955791.75999996
2012-03-30,167316067.02
2012-03-31,158046389.84999993
2012-04-01,141253224.22
2012-04-02,163276199.32000002
2012-04-03,163712816.36
2012-04-04,160582274.39
2012-04-05,136253546.39999998
2012-04-06,124105908.78000002
2012-04-07,137361175.60000002
2012-04-08,133129554.82000002
2012-04-09,160141485.36999997
2012-04-10,165892362.26000002
2012-04-11,166090069.20000005
2012-04-12,162443887.91
2012-04-13,162700741.57
2012-04-14,156509066.24
2012-04-15,140463295.69
2012-04-16,164363446.48
2012-04-17,166516220.40999997
2012-04-18,164247588.14
2012-04-19,164328397.62
2012-04-20,166247014.07
2012-04-21,156498552.12999997
2012-04-22,140436053.98000002
2012-04-23,164249660.14000002
2012-04-24,165986148.26000002
2012-04-25,167373279.57999998
2012-04-26,168871465.01999998
2012-04-27,167330090.44
2012-04-28,158116219.05000004
2012-04-29,139517845.47
2012-04-30,161553949.79000002
2012-05-01,140022216.20999998
2012-05-02,160932241.24000004
2012-05-03,165026323.74
2012-05-04,162712795.92000002
2012-05-05,153675206.89999998
2012-05-06,138642389.88
2012-05-07,160909844.26000002
2012-05-08,165142295.75
2012-05-09,166065987.22
2012-05-10,168046970.54
2012-05-11,168770933.87
2012-05-12,158542086.37999994
2012-05-13,138178900.48999998
2012-05-14,163974563.07000002
2012-05-15,168755411.61
2012-05-16,171016161.04999998
2012-05-17,170981079.71999997
2012-05-18,170931042.75999996
2012-05-19,159110664.95000002
2012-05-20,136797321.64
2012-05-21,142597571.82999995
2012-05-22,165876058.92000002
2012-05-23,168514379.82000002
2012-05-24,171245998.2
2012-05-25,170044500.31
2012-05-26,161129933.28
2012-05-27,142763167.34
2012-05-28,169394011.86999997
2012-05-29,171135224.03000003
2012-05-30,170130961.27
2012-05-31,171036071.0
2012-06-01,168550989.46000007
2012-06-02,159486619.08000004
2012-06-03,143081879.78999996
2012-06-04,167913068.14999995
2012-06-05,170544733.04999998
2012-06-06,173399205.82999998
2012-06-07,174277437.10000002
2012-06-08,170948387.51999998
2012-06-09,161717578.18
2012-06-10,144853046.07999998
2012-06-11,145867073.42
2012-06-12,165758786.19000003
2012-06-13,168352305.54000002
2012-06-14,168095851.71999997
2012-06-15,169527555.38
2012-06-16,155355748.85000002
2012-06-17,134518313.37
2012-06-18,142682386.54999995
2012-06-19,168830441.11999997
2012-06-20,170632607.32999998
2012-06-21,166598885.71
2012-06-22,170554839.29999998
2012-06-23,160780860.41999996
2012-06-24,138750832.85999998
2012-06-25,161843838.72
2012-06-26,164529176.66
2012-06-27,165249295.89
2012-06-28,167276192.93999997
2012-06-29,165668641.50000003
2012-06-30,153720681.60999998
2012-07-01,134943785.65
2012-07-02,141253337.84000003
2012-07-03,163080559.46
2012-07-04,165330149.32
2012-07-05,168169515.40999997
2012-07-06,168138587.93000004
2012-07-07,159529062.16
2012-07-08,142232696.04999998
2012-07-09,170152083.58
2012-07-10,171443594.97
2012-07-11,170606686.02
2012-07-12,169351432.67999998
2012-07-13,167072568.14999998
2012-07-14,155353935.52999997
2012-07-15,139608793.39
2012-07-16,164547345.44
2012-07-17,169755479.78
2012-07-18,167138727.53000003
2012-07-19,168875529.25999996
2012-07-20,150684421.92999998
2012-07-21,154643887.26999998
2012-07-22,141238500.38
2012-07-23,167139887.98
2012-07-24,168638415.64000005
2012-07-25,171514982.12000003
2012-07-26,173425191.44
2012-07-27,173210519.93
2012-07-28,161659906.34
2012-07-29,144960451.63
2012-07-30,166213144.73000002
2012-07-31,168041943.54
2012-08-01,167428386.46
2012-08-02,169598902.6
2012-08-03,170070060.57999998
2012-08-04,160475275.2
2012-08-05,140857867.31
2012-08-06,163419809.88000003
2012-08-07,150192449.01000002
2012-08-08,170646449.88
2012-08-09,170287790.51
2012-08-10,171096032.32000002
2012-08-11,160374884.26000002
2012-08-12,142477197.57999998
2012-08-13,166153907.71
2012-08-14,165260500.28000003
2012-08-15,168403297.07
2012-08-16,170399489.14000002
2012-08-17,168062174.91
2012-08-18,157145782.01
2012-08-19,141050214.0
2012-08-20,142508282.10999998
2012-08-21,167882363.16
2012-08-22,169843099.85000005
2012-08-23,168892144.41
2012-08-24,168556244.62
2012-08-25,158717817.02
2012-08-26,142489497.32999998
2012-08-27,167764735.59000003
2012-08-28,170689948.06000003
2012-08-29,173517910.65999997
2012-08-30,171916545.13000003
2012-08-31,170704506.42
2012-09-01,159473459.87000003
2012-09-02,142915994.97999996
2012-09-03,167890800.34
2012-09-04,170061359.55999997
2012-09-05,170075088.65000004
2012-09-06,170818711.33
2012-09-07,174962991.12
2012-09-08,164843755.79000002
2012-09-09,147198426.73
2012-09-10,174057777.21
2012-09-11,176360589.18
2012-09-12,175621991.87
2012-09-13,176742415.58000004
2012-09-14,177070481.09000003
2012-09-15,168118867.72
2012-09-16,148977762.93
2012-09-17,173399995.25
2012-09-18,178089343.07
2012-09-19,178626276.96
2012-09-20,180700958.34
2012-09-21,179379655.18
2012-09-22,165767700.35999998
