fecha,vol_util
2011-01-11,11941899660.8
2011-01-12,11878398491.9
2011-01-13,11809340697.8
2011-01-14,11735737835.7
2011-01-15,11684330626.3
2011-01-16,11638377212.9
2011-01-17,11552369977.0
2011-01-18,11482599245.3
2011-01-19,11403733625.8
2011-01-20,11319963969.9
2011-01-21,11234346207.5
2011-01-22,11149633099.2
2011-01-23,11073261252.4
2011-01-24,10987727045.4
2011-01-25,10894138489.0
2011-01-26,10828190884.1
2011-01-27,10779449833.7
2011-01-28,10720072909.3
2011-01-29,10660635077.6
2011-01-30,10603326747.3
2011-01-31,10536532970.7
2011-02-01,10454853928.9
2011-02-02,10370384607.0
2011-02-03,10288899739.9
2011-02-04,10208699341.9
2011-02-05,10139903846.3
2011-02-06,10107367538.8
2011-02-07,10081053183.2
2011-02-08,10035680131.7
2011-02-09,9990572600.3
2011-02-10,9959737174.6
2011-02-11,9923459715.9
2011-02-12,9865318328.0
2011-02-13,9827194606.3
2011-02-14,9789221052.0
2011-02-15,9730720901.4
2011-02-16,9707436849.4
2011-02-17,9695289863.0
2011-02-18,9666294298.2
2011-02-19,9620187264.5
2011-02-20,9581847052.7
2011-02-21,9513530545.5
2011-02-22,9439245158.7
2011-02-23,9385663161.1
2011-02-24,9345167422.3
2011-02-25,9294237792.9
2011-02-26,9247599652.7
2011-02-27,9216429711.5
2011-02-28,9161580687.7
2011-03-01,9138584409.2
2011-03-02,9134063571.6
2011-03-03,9129535456.3
2011-03-04,9128912343.9
2011-03-05,9123755284.1
2011-03-06,9123021723.2
2011-03-07,9113731128.1
2011-03-08,9091511596.2
2011-03-09,9151569952.0
2011-03-10,9213626309.4
2011-03-11,9186911469.8
2011-03-12,9150004748.5
2011-03-13,9112011862.4
2011-03-14,9048247342.0
2011-03-15,8987916439.1
2011-03-16,8931058606.2
2011-03-17,8877472185.9
2011-03-18,8859222490.1
2011-03-19,8860018466.2
2011-03-20,8940870936.8
2011-03-21,9015693386.6
2011-03-22,9061536026.8
2011-03-23,9184237462.7
2011-03-24,9246648303.2
2011-03-25,9355681954.5
2011-03-26,9462999960.6
2011-03-27,9467031756.7
2011-03-28,9454802272.1
2011-03-29,9407826510.7
2011-03-30,9359547026.4
2011-03-31,9297341869.9
2011-04-01,9234019196.5
2011-04-02,9188762729.7
2011-04-03,9156120850.0
2011-04-04,9105710193.8
2011-04-05,9066055600.6
2011-04-06,9080594775.2
2011-04-07,9077694376.4
2011-04-08,9066727051.8
2011-04-09,9105026661.5
2011-04-10,9237704976.3
2011-04-11,9322333364.7
2011-04-12,9526742924.1
2011-04-13,9730052487.4
2011-04-14,9851539922.8
2011-04-15,10038562691.8
2011-04-16,10208483330.4
2011-04-17,10436258682.1
2011-04-18,10561578024.2
2011-04-19,10726589450.3
2011-04-20,10928114983.0
2011-04-21,11164058081.2
2011-04-22,11441631684.1
2011-04-23,11727313252.5
2011-04-24,11875470114.8
2011-04-25,11981569294.4
2011-04-26,12054523380.4
2011-04-27,12134803636.2
2011-04-28,12189731364.9
2011-04-29,12204134606.1
2011-04-30,12194242251.0
2011-05-01,12244188053.1
2011-05-02,12280213202.6
2011-05-03,12412516417.9
2011-05-04,12459145988.1
2011-05-05,12478546679.9
2011-05-06,12458644458.1
2011-05-07,12492297417.3
2011-05-08,12513492049.9
2011-05-09,12496487523.9
2011-05-10,12483648111.7
2011-05-11,12484743013.4
2011-05-12,12506549756.1
2011-05-13,12582231231.1
2011-05-14,12777469087.4
2011-05-15,12838216324.1
2011-05-16,12866583094.5
2011-05-17,12860075471.4
2011-05-18,12861900484.3
2011-05-19,12838018025.1
2011-05-20,12797949884.7
2011-05-21,12814861609.0
2011-05-22,12911880754.9
2011-05-23,12906719716.9
2011-05-24,12911193717.0
2011-05-25,12965105452.3
2011-05-26,13013237362.0
2011-05-27,13056818412.4
2011-05-28,13136488292.5
2011-05-29,13218757652.5
2011-05-30,13243162042.3
2011-05-31,13243737073.6
2011-06-01,13241970223.8
2011-06-02,13332527683.6
2011-06-03,13384206959.2
2011-06-04,13446651750.0
2011-06-05,13428663002.8
2011-06-06,13421340966.6
2011-06-07,13365198675.4
2011-06-08,13287054704.8
2011-06-09,13212588888.0
2011-06-10,13158378342.4
2011-06-11,13115933934.6
2011-06-12,13095875092.4
2011-06-13,13072504631.3
2011-06-14,13071545393.2
2011-06-15,13057663546.7
2011-06-16,13038721084.4
2011-06-17,13066111742.4
2011-06-18,13099197265.2
2011-06-19,13096953303.0
2011-06-20,13074489194.3
2011-06-21,13046517331.0
2011-06-22,13057348683.4
2011-06-23,13138022261.9
2011-06-24,13181428857.4
2011-06-25,13303740378.2
2011-06-26,13379421754.8
2011-06-27,13534842899.1
2011-06-28,13492623902.4
2011-06-29,13454711296.5
2011-06-30,13438052275.6
2011-07-01,13411604447.4
2011-07-02,13383319153.6
2011-07-03,13411014081.1
2011-07-04,13424339054.7
2011-07-05,13396527080.0
2011-07-06,13415036245.6
2011-07-07,13396780264.6
2011-07-08,13340002184.7
2011-07-09,13293504202.8
2011-07-10,13256491961.6
2011-07-11,13216496868.8
2011-07-12,13202418473.3
2011-07-13,13267246123.7
2011-07-14,13374119666.3
2011-07-15,13398966902.4
2011-07-16,13395338066.3
2011-07-17,13370614132.9
2011-07-18,13418172258.0
2011-07-19,13397844651.3
2011-07-20,13394888193.0
2011-07-21,13345120977.2
2011-07-22,13298400717.0
2011-07-23,13288062280.4
2011-07-24,13280726870.0
2011-07-25,13252206871.5
2011-07-26,13209582996.6
2011-07-27,13188607146.6
2011-07-28,13207323423.4
2011-07-29,13273592838.7
2011-07-30,13342722171.3
2011-07-31,13358983801.7
2011-08-01,13335770897.8
2011-08-02,13316715658.8
2011-08-03,13294408751.8
2011-08-04,13261991418.9
2011-08-05,13215806588.6
2011-08-06,13162233351.5
2011-08-07,13142648504.5
2011-08-08,13089355730.0
2011-08-09,13033199322.0
2011-08-10,12980227941.7
2011-08-11,12978435888.5
2011-08-12,13018662811.8
2011-08-13,13014032368.0
2011-08-14,13018270113.9
2011-08-15,13041170035.0
2011-08-16,13107716693.5
2011-08-17,13135941377.0
2011-08-18,13157036178.3
2011-08-19,13208389910.7
2011-08-20,13188849172.3
2011-08-21,13170980124.0
2011-08-22,13165959215.9
2011-08-23,13193080198.4
2011-08-24,13235376082.3
2011-08-25,13204725890.6
2011-08-26,13139991964.7
2011-08-27,13092186014.1
2011-08-28,13099110367.5
2011-08-29,13048489026.7
