codigo_recurso,tipo_generacion,combustible,estado
3HF9,SOLAR,RAD SOLAR,OPERACION
3HFV,SOLAR,RAD SOLAR,OPERACION
3HG5,SOLAR,RAD SOLAR,OPERACION
3HG7,SOLAR,RAD SOLAR,OPERACION
3HG9,SOLAR,RAD SOLAR,OPERACION
3HGI,SOLAR,RAD SOLAR,OPERACION
3HH7,SOLAR,RAD SOLAR,OPERACION
3HH9,SOLAR,RAD SOLAR,OPERACION
3HIA,SOLAR,RAD SOLAR,OPERACION
3HJE,SOLAR,RAD SOLAR,OPERACION
3HKK,SOLAR,RAD SOLAR,OPERACION
3HL2,SOLAR,RAD SOLAR,OPERACION
3HL9,SOLAR,RAD SOLAR,OPERACION
3HLB,SOLAR,RAD SOLAR,OPERACION
3HLD,SOLAR,RAD SOLAR,OPERACION
3HQW,SOLAR,RAD SOLAR,OPERACION
3HQY,SOLAR,RAD SOLAR,OPERACION
3HR1,SOLAR,RAD SOLAR,OPERACION
3HRC,SOLAR,RAD SOLAR,OPERACION
3HRU,SOLAR,RAD SOLAR,OPERACION
3HS5,SOLAR,RAD SOLAR,OPERACION
3HS7,SOLAR,RAD SOLAR,OPERACION
3HS9,SOLAR,RAD SOLAR,OPERACION
3HTH,SOLAR,RAD SOLAR,OPERACION
3HTJ,SOLAR,RAD SOLAR,OPERACION
3HTL,SOLAR,RAD SOLAR,OPERACION
3HTN,SOLAR,RAD SOLAR,OPERACION
3HWK,SOLAR,RAD SOLAR,OPERACION
3HWM,SOLAR,RAD SOLAR,OPERACION
3HYG,SOLAR,RAD SOLAR,OPERACION
3I3I,SOLAR,RAD SOLAR,OPERACION
3I3K,SOLAR,RAD SOLAR,OPERACION
3I3M,SOLAR,RAD SOLAR,OPERACION
3I3O,SOLAR,RAD SOLAR,OPERACION
3I3Q,SOLAR,RAD SOLAR,OPERACION
3I4A,SOLAR,RAD SOLAR,OPERACION
3I4C,SOLAR,RAD SOLAR,OPERACION
3I6L,SOLAR,RAD SOLAR,OPERACION
3I6N,SOLAR,RAD SOLAR,OPERACION
3I6P,SOLAR,RAD SOLAR,OPERACION
3I6R,SOLAR,RAD SOLAR,OPERACION
3I6V,SOLAR,RAD SOLAR,OPERACION
3I6X,SOLAR,RAD SOLAR,OPERACION
3I71,SOLAR,RAD SOLAR,OPERACION
3I73,SOLAR,RAD SOLAR,OPERACION
3ICX,SOLAR,RAD SOLAR,OPERACION
3ICZ,SOLAR,RAD SOLAR,OPERACION
3ID2,SOLAR,RAD SOLAR,OPERACION
3ID4,SOLAR,RAD SOLAR,OPERACION
3ID6,SOLAR,RAD SOLAR,OPERACION
3II2,SOLAR,RAD SOLAR,OPERACION
3II4,SOLAR,RAD SOLAR,OPERACION
3II6,SOLAR,RAD SOLAR,OPERACION
3II8,SOLAR,RAD SOLAR,OPERACION
3IIA,SOLAR,RAD SOLAR,OPERACION
3IIC,SOLAR,RAD SOLAR,OPERACION
3IIE,SOLAR,RAD SOLAR,OPERACION
3IIG,SOLAR,RAD SOLAR,OPERACION
3III,SOLAR,RAD SOLAR,OPERACION
3IIK,SOLAR,RAD SOLAR,OPERACION
3IIM,SOLAR,RAD SOLAR,OPERACION
3IIO,SOLAR,RAD SOLAR,OPERACION
3IIQ,SOLAR,RAD SOLAR,OPERACION
3IIT,SOLAR,RAD SOLAR,OPERACION
3IIV,SOLAR,RAD SOLAR,OPERACION
3IJF,TERMICA,GAS,OPERACION
3IML,SOLAR,RAD SOLAR,OPERACION
3IMN,SOLAR,RAD SOLAR,OPERACION
3INT,SOLAR,RAD SOLAR,OPERACION
3INX,SOLAR,RAD SOLAR,PRUEBAS
3IOY,SOLAR,RAD SOLAR,OPERACION
3IP1,SOLAR,RAD SOLAR,OPERACION
3IP3,SOLAR,RAD SOLAR,OPERACION
3IP5,SOLAR,RAD SOLAR,OPERACION
3IP7,SOLAR,RAD SOLAR,OPERACION
3IQ2,SOLAR,RAD SOLAR,OPERACION
3IQA,SOLAR,RAD SOLAR,PRUEBAS
3IRI,HIDRAULICA,AGUA,PRUEBAS
3IRX,SOLAR,RAD SOLAR,OPERACION
3IRZ,HIDRAULICA,AGUA,OPERACION
3IS2,SOLAR,RAD SOLAR,OPERACION
3ISD,SOLAR,RAD SOLAR,OPERACION
3ITE,SOLAR,RAD SOLAR,OPERACION
3ITG,SOLAR,RAD SOLAR,OPERACION
3ITI,SOLAR,RAD SOLAR,OPERACION
3ITK,SOLAR,RAD SOLAR,OPERACION
3ITM,SOLAR,RAD SOLAR,OPERACION
3ITO,SOLAR,RAD SOLAR,OPERACION
3ITQ,SOLAR,RAD SOLAR,OPERACION
3IUT,SOLAR,RAD SOLAR,OPERACION
3IUZ,SOLAR,RAD SOLAR,OPERACION
3IZ6,SOLAR,RAD SOLAR,PRUEBAS
3IZQ,SOLAR,RAD SOLAR,OPERACION
3IZS,SOLAR,RAD SOLAR,OPERACION
3IZU,SOLAR,RAD SOLAR,OPERACION
3IZW,SOLAR,RAD SOLAR,OPERACION
3J1J,SOLAR,RAD SOLAR,OPERACION
3J2B,SOLAR,RAD SOLAR,OPERACION
3J2H,SOLAR,RAD SOLAR,OPERACION
3J2K,SOLAR,RAD SOLAR,OPERACION
3J2O,SOLAR,RAD SOLAR,OPERACION
3J2Q,SOLAR,RAD SOLAR,OPERACION
3J2Y,SOLAR,RAD SOLAR,OPERACION
3J31,SOLAR,RAD SOLAR,OPERACION
3J33,SOLAR,RAD SOLAR,OPERACION
3J35,SOLAR,RAD SOLAR,OPERACION
3J37,SOLAR,RAD SOLAR,OPERACION
3J39,SOLAR,RAD SOLAR,OPERACION
3J3B,SOLAR,RAD SOLAR,OPERACION
3J3D,SOLAR,RAD SOLAR,OPERACION
3J4D,SOLAR,RAD SOLAR,OPERACION
3J4R,SOLAR,RAD SOLAR,OPERACION
3J4T,SOLAR,RAD SOLAR,OPERACION
3J4V,SOLAR,RAD SOLAR,OPERACION
3J5V,SOLAR,RAD SOLAR,OPERACION
3J5X,SOLAR,RAD SOLAR,OPERACION
3J83,SOLAR,RAD SOLAR,PRUEBAS
3J85,SOLAR,RAD SOLAR,PRUEBAS
3J8B,SOLAR,RAD SOLAR,OPERACION
3J8T,SOLAR,RAD SOLAR,OPERACION
3J8V,SOLAR,RAD SOLAR,OPERACION
3J8X,SOLAR,RAD SOLAR,OPERACION
3J8Z,SOLAR,RAD SOLAR,OPERACION
3JA3,SOLAR,RAD SOLAR,OPERACION
3JBP,SOLAR,RAD SOLAR,OPERACION
3JG3,SOLAR,RAD SOLAR,OPERACION
3JG5,SOLAR,RAD SOLAR,OPERACION
3JHX,SOLAR,RAD SOLAR,OPERACION
3JHZ,SOLAR,RAD SOLAR,OPERACION
3JI2,SOLAR,RAD SOLAR,OPERACION
3JI4,SOLAR,RAD SOLAR,OPERACION
3JNL,SOLAR,RAD SOLAR,OPERACION
3JNN,SOLAR,RAD SOLAR,OPERACION
3JNP,SOLAR,RAD SOLAR,OPERACION
3JNR,TERMICA,GAS,OPERACION
3JP6,SOLAR,RAD SOLAR,OPERACION
3JP8,SOLAR,RAD SOLAR,OPERACION
3JPA,SOLAR,RAD SOLAR,OPERACION
3JPC,SOLAR,RAD SOLAR,PRUEBAS
3JPE,SOLAR,RAD SOLAR,OPERACION
3JPK,SOLAR,RAD SOLAR,OPERACION
3JPM,SOLAR,RAD SOLAR,OPERACION
3JQA,SOLAR,RAD SOLAR,OPERACION
3JQC,SOLAR,RAD SOLAR,OPERACION
3JQE,SOLAR,RAD SOLAR,OPERACION
3JQL,SOLAR,RAD SOLAR,OPERACION
3JQT,SOLAR,RAD SOLAR,OPERACION
3JQV,SOLAR,RAD SOLAR,OPERACION
3JQX,SOLAR,RAD SOLAR,OPERACION
3JQZ,SOLAR,RAD SOLAR,OPERACION
3JR2,SOLAR,RAD SOLAR,OPERACION
3K52,SOLAR,RAD SOLAR,OPERACION
3K54,SOLAR,RAD SOLAR,OPERACION
3K56,SOLAR,RAD SOLAR,OPERACION
3K5A,SOLAR,RAD SOLAR,OPERACION
3K5C,SOLAR,RAD SOLAR,OPERACION
3K5E,SOLAR,RAD SOLAR,OPERACION
3K5G,SOLAR,RAD SOLAR,OPERACION
3K5I,SOLAR,RAD SOLAR,OPERACION
3K5Y,SOLAR,RAD SOLAR,OPERACION
3K6R,SOLAR,RAD SOLAR,OPERACION
