fecha,disp_real_hidraulica,disp_real,disp_real_termica,disponibilidad_real
2012-04-09,424702.1619318182,157000.0,149942.27272727274,267161.7033365571
2012-04-10,427947.0128787879,157000.0,147193.0,267080.111863314
2012-04-11,413080.2610576923,157000.0,149996.94333333333,262245.2937124932
2012-04-12,419199.3568910257,156972.9166666667,145871.64,262653.7015139116
2012-04-13,427022.3320075758,156228.4583333333,149796.875,270609.31645256915
2012-04-14,425053.14185606065,157000.0,149796.875,269786.6921113307
2012-04-15,424966.51875,157000.0,149796.02504960317,269748.5864389234
2012-04-16,411336.81893939397,157000.0,153873.75579710145,268440.728047138
2012-04-17,406395.65984848485,157000.0,157311.803030303,270517.56508264464
2012-04-18,403917.42291666666,156000.0,153841.55034722222,262664.03623188403
2012-04-19,397856.24583333335,156000.0,154315.00694444444,260275.76268115942
2012-04-20,403293.09659090906,156000.0,153566.54528985507,264664.2771885522
2012-04-21,403811.2776679842,156000.0,141092.23295454544,261187.60632635644
2012-04-22,378677.33771929826,156000.0,139998.75833333333,243791.83768939396
2012-04-23,382023.7395833334,156000.0,148867.51138716354,257644.01234411864
2012-04-24,398380.9333333333,156000.0,148928.21693121694,265281.65633074933
2012-04-25,416661.44545454544,156000.0,146505.95238095237,272601.2536997886
2012-04-26,427918.5020833333,156000.0,145392.04545454544,274295.3418560606
2012-04-27,436336.43106060603,156000.0,141635.86956521738,273252.3026936027
2012-04-28,439502.2916666667,156000.0,141635.86956521738,274659.35185185185
2012-04-29,441387.03143939393,156000.0,141146.350931677,275246.81556036556
2012-04-30,442247.31726190477,156000.0,141635.86956521738,275879.3632275132
2012-05-01,443283.9285714285,156000.0,141635.86956521738,276340.07936507935
2012-05-02,430948.66969696974,153770.8333333333,140742.42424242425,273246.5544077135
2012-05-03,423485.88749176543,153921.5208333333,140765.56324110672,269872.7996092346
2012-05-04,436236.0669871795,156000.0,142572.06439393942,276666.06264568766
2012-05-05,432863.5488095238,156000.0,152247.02380952382,282940.89479512733
2012-05-06,455166.48245614034,156000.0,153047.61904761905,289861.02777777775
2012-05-07,432998.7770676692,156000.0,153761.90476190476,283743.61724077637
2012-05-08,435348.581547619,156000.0,167227.27272727274,288590.2643398268
2012-05-09,433850.5895833333,156000.0,167227.27272727274,287909.35890151514
2012-05-10,430389.3041666667,156000.0,166672.5767906336,286058.6993801653
2012-05-11,427477.93560606067,156000.0,167037.3106060606,284917.71694214875
2012-05-12,424391.9083333333,156000.0,154684.0,272005.52536231885
2012-05-13,425211.2546474359,156000.0,161304.34782608695,278360.55762108264
2012-05-14,423683.1229166667,156000.0,157084.4867724868,272949.7856711525
2012-05-15,421101.45625,156000.0,156422.78298611112,271482.08514492755
2012-05-16,419207.4625,156000.0,160155.21298046628,275104.8699677939
2012-05-17,423220.1020833333,156000.0,159852.0525362319,276733.31666666665
2012-05-18,436111.2833333333,156000.0,160478.26086956522,282782.7925925926
2012-05-19,437637.7083333333,156000.0,165454.54545454544,288744.41287878784
2012-05-20,439153.125,156000.0,161110.66666666666,287261.29924242425
2012-05-21,436365.4166666667,156000.0,158297.8260869565,281781.2962962963
2012-05-22,427786.9020833333,156000.0,161040.57971014493,279370.475
2012-05-23,422218.2625,156000.0,160976.12787723783,276862.5820261438
2012-05-24,429335.06875,156000.0,161099.03260869565,280088.425
2012-05-25,446382.8125,156000.0,161095.71014492752,287663.5018518519
2012-05-26,445578.80386904767,156000.0,161173.91304347827,287346.1350529101
2012-05-27,444808.82352941175,156000.0,160585.14492753622,286702.9956427015
2012-05-28,438770.8666666667,156000.0,161173.91304347827,284320.3851851852
2012-05-29,434000.28409090906,156000.0,161043.47826086957,282133.4595959596
2012-05-30,431887.71818181814,153000.0,161309.78260869565,281197.3191919192
2012-05-31,434080.44545454544,153000.0,161288.04347826086,282160.7535353535
2012-06-01,442854.6998106061,153000.0,147171.46875,275982.8097002635
2012-06-02,442580.04981060605,156000.0,147022.94565217392,275916.3411274847
2012-06-03,444282.0913461538,156000.0,142491.42857142855,271487.82002571895
2012-06-04,442691.1791666667,156000.0,145583.33333333334,275213.5561594203
2012-06-05,433918.00681818184,156000.0,145583.33333333334,271399.1333992095
2012-06-06,435763.63636363635,156000.0,146000.0,272418.9723320158
2012-06-07,440279.28125,156000.0,145894.12202380953,274327.05551242235
2012-06-08,440020.4759469697,156000.0,146000.0,274269.7721508564
2012-06-09,432753.6931818182,156000.0,148632.24637681158,275235.90067340067
2012-06-10,436825.0,156000.0,148620.47101449277,277039.35185185185
2012-06-11,436548.9583333333,156000.0,148697.50118147448,276956.0376409018
2012-06-12,429364.1193181818,156000.0,150029.20604914933,274443.42501097935
2012-06-13,429605.6678030303,156000.0,151130.4347826087,275113.63013468013
2012-06-14,433586.53484848485,156000.0,150798.5495169082,276713.2741301908
2012-06-15,432262.5,156000.0,153021.73913043478,277261.1111111111
2012-06-16,427102.27272727276,156000.0,151915.9510869565,274402.4962121212
2012-06-17,427300.0,156000.0,152898.41137123745,274992.5213675214
2012-06-18,427888.17727272725,156000.0,142842.55076923076,264698.4535039429
2012-06-19,430860.275,156000.0,144808.39743589744,267008.8390616476
2012-06-20,416450.6875,156000.0,149592.94871794872,265896.61998327763
