fecha,compras_contrato
2011-08-19,183467652.0
2011-08-20,174902300.24
2011-08-21,160741083.23000002
2011-08-22,180669151.27000004
2011-08-23,181452426.17000005
2011-08-24,181069828.80999997
2011-08-25,183449696.97000006
2011-08-26,182855537.90999997
2011-08-27,174147297.31999996
2011-08-28,161517786.50000003
2011-08-29,180506905.60000002
2011-08-30,181752040.04999998
2011-08-31,181914196.42999998
2011-09-01,184429768.69000003
2011-09-02,181678249.21
2011-09-03,174142290.90999997
2011-09-04,161862968.89999998
2011-09-05,182492481.47000003
2011-09-06,184051605.41
2011-09-07,185004182.93
2011-09-08,185192627.76999995
2011-09-09,184052677.67999998
2011-09-10,175131619.22
2011-09-11,163017020.99
2011-09-12,180680151.29999998
2011-09-13,183665585.44
2011-09-14,182180255.40999997
2011-09-15,182240016.02999997
2011-09-16,182611237.95000005
2011-09-17,175705794.76
2011-09-18,162934402.65
2011-09-19,179995933.83
2011-09-20,181551735.62
2011-09-21,181591906.95
2011-09-22,181673367.57
2011-09-23,182682414.95000002
2011-09-24,175291850.0599999
2011-09-25,163739922.34
2011-09-26,182323241.45999998
2011-09-27,182299619.53999996
2011-09-28,184699042.59
2011-09-29,183605339.04999998
2011-09-30,181807006.55000004
2011-10-01,173729039.65
2011-10-02,160986496.44
2011-10-03,182504610.13999996
2011-10-04,183474928.65
2011-10-05,183306275.14000002
2011-10-06,184946318.82
2011-10-07,184489700.58
2011-10-08,174603757.89
2011-10-09,161585023.42999998
2011-10-10,181926899.26999998
2011-10-11,181790275.05999997
2011-10-12,181516394.08
2011-10-13,183527089.39999998
2011-10-14,182569136.94000003
2011-10-15,174191709.87
2011-10-16,159540465.40000004
2011-10-17,162211846.18
2011-10-18,179003063.83
2011-10-19,180890983.47000003
2011-10-20,180324395.44999996
2011-10-21,180157496.5
2011-10-22,174472214.93
2011-10-23,163264091.45
2011-10-24,184452500.66
2011-10-25,186481764.55999994
2011-10-26,186287635.95000002
2011-10-27,186401531.49999997
2011-10-28,186391433.48000002
2011-10-29,175327513.69
2011-10-30,161248722.69
2011-10-31,179624502.73000005
2011-11-01,182505098.28999996
2011-11-02,181758393.67000002
2011-11-03,182708072.35
2011-11-04,183458019.32
2011-11-05,177897540.52
2011-11-06,164837161.79000002
2011-11-07,166674580.99
2011-11-08,185670567.02
2011-11-09,185611414.63
2011-11-10,186047739.65999997
2011-11-11,186159411.9
2011-11-12,177607531.73999998
2011-11-13,163474183.14
2011-11-14,166664709.91
2011-11-15,184362778.64
2011-11-16,184574146.17999995
2011-11-17,183867980.63
2011-11-18,182304770.37
2011-11-19,175611636.24999997
2011-11-20,164499126.20000002
2011-11-21,184051804.76
2011-11-22,184974572.74999997
2011-11-23,185683064.52999997
2011-11-24,184748161.27
2011-11-25,185955967.62999997
2011-11-26,178617010.16999996
2011-11-27,164869847.46
2011-11-28,183568212.71
2011-11-29,182708421.19
2011-11-30,180518445.07999998
2011-12-01,171575535.07
2011-12-02,173128810.36
2011-12-03,167465361.42000002
2011-12-04,156531159.24000004
2011-12-05,174361013.98000002
2011-12-06,174923327.29999998
2011-12-07,173659834.46000004
2011-12-08,157505880.07
2011-12-09,174244154.64
2011-12-10,168047146.61999997
2011-12-11,155814220.46999997
2011-12-12,172548719.63
2011-12-13,174613181.33
2011-12-14,174894170.50999996
2011-12-15,172657793.07999998
2011-12-16,171780690.5
2011-12-17,163484390.67
2011-12-18,153720967.51999998
2011-12-19,171114829.31999996
2011-12-20,171859158.04
2011-12-21,172584859.87999997
2011-12-22,172058550.95
2011-12-23,170545622.71000004
2011-12-24,158599353.91999996
2011-12-25,146754520.82000005
2011-12-26,166619217.85
2011-12-27,170438441.4
2011-12-28,171411050.23000002
2011-12-29,170208383.74
2011-12-30,168542962.34
2011-12-31,156812825.59
2012-01-01,143442559.14999998
2012-01-02,164244543.79999995
2012-01-03,168890260.76000002
2012-01-04,170459966.24
2012-01-05,170499448.45000002
2012-01-06,170928042.72
2012-01-07,165603710.44999996
2012-01-08,153521031.07000002
2012-01-09,154586292.88
2012-01-10,172373911.26999998
2012-01-11,172111768.14
2012-01-12,174125543.04999998
2012-01-13,174681138.33999994
