fecha,ventas_bolsa
2012-07-17,51742818.080000006
2012-07-18,48508233.78999999
2012-07-19,49605111.190000005
2012-07-20,50787272.87
2012-07-21,44379332.16
2012-07-22,46813349.339999996
2012-07-23,48316217.71
2012-07-24,46465046.85000001
2012-07-25,49490127.09000002
2012-07-26,48617605.82
2012-07-27,46132881.779999994
2012-07-28,44502929.089999996
2012-07-29,52842731.440000005
2012-07-30,47059919.95
2012-07-31,41496117.11000001
2012-08-01,45823626.460000016
2012-08-02,45704972.52
2012-08-03,45412198.42
2012-08-04,46114891.85
2012-08-05,44164192.2
2012-08-06,44039317.99
2012-08-07,42263165.27
2012-08-08,42800963.63
2012-08-09,42568278.059999995
2012-08-10,42850867.45
2012-08-11,48943859.800000004
2012-08-12,48947663.36
2012-08-13,43266838.699999996
2012-08-14,32312016.009999998
2012-08-15,42730977.24
2012-08-16,48150647.87000001
2012-08-17,49108637.86
2012-08-18,43514366.39000001
2012-08-19,47705883.91
2012-08-20,47198248.66
2012-08-21,43292569.379999995
2012-08-22,41613936.71000001
2012-08-23,40633502.3
2012-08-24,42120287.61
2012-08-25,44120466.07
2012-08-26,47145251.640000015
2012-08-27,43001091.93
2012-08-28,42744731.17
2012-08-29,44508851.269999996
2012-08-30,42408951.74000001
2012-08-31,46909304.349999994
2012-09-01,50937817.169999994
2012-09-02,42124774.300000004
2012-09-03,43702805.599999994
2012-09-04,36322613.519999996
2012-09-05,38713942.849999994
2012-09-06,39402215.01999999
2012-09-07,42797177.24
2012-09-08,41553819.410000004
2012-09-09,40171496.2
2012-09-10,35326456.44
