fecha,disp_dec_hidraulica,disp_dec_no_termica,disp_dec_termica,disponibilidad_declarada
2015-04-22,337339.5833333333,66509.0,123954.59770114943,211634.29166666666
2015-04-23,337982.0512820513,66509.0,123796.55172413793,211836.30555555556
2015-04-24,342441.9871794871,66509.0,124826.72413793103,214266.8611111111
2015-04-25,351243.26923076925,66509.0,122796.55172413793,217099.5
2015-04-26,343595.5128205129,66509.0,123743.3908045977,214243.1111111111
2015-04-27,354236.53846153844,66509.0,129376.94444444445,220065.62841530057
2015-04-28,346938.46153846156,66509.0,129338.05555555555,216935.8469945355
2015-04-29,346430.4487179487,66509.0,123362.64367816091,215287.55555555556
2015-04-30,344835.89743589744,65592.33333333333,125884.19540229885,215738.94444444444
2015-05-01,336367.9487179487,66509.0,131106.89655172414,214670.19444444444
2015-05-02,340256.08974358975,66509.0,136721.8390804598,219068.94444444444
2015-05-03,337892.3076923077,66509.0,131683.0459770115,215609.22222222222
2015-05-04,344323.39743589744,66509.0,136194.54022988505,220576.58333333334
2015-05-05,334339.42307692306,66509.0,133226.14942528735,214815.47222222222
2015-05-06,331195.1923076923,66509.0,127922.98850574713,210889.77777777778
2015-05-07,327563.78205128206,66509.0,131369.8275862069,210982.1388888889
2015-05-08,332720.8333333333,66509.0,134507.75862068965,214733.52777777778
2015-05-09,333781.73076923075,66509.0,126871.26436781608,211502.27777777778
2015-05-10,329307.37179487175,66509.0,125707.4712643678,209000.8888888889
2015-05-11,322185.57692307694,66509.0,127364.08045977012,206715.47222222222
2015-05-12,312137.5,63925.66666666667,132512.06896551725,204634.22222222222
2015-05-13,292179.1666666666,63942.33333333333,130217.5287356322,194877.97222222222
2015-05-14,297006.08974358975,66509.0,122191.66666666667,193304.3611111111
2015-05-15,305892.3076923077,66509.0,128453.16091954023,200181.44444444444
2015-05-16,326855.4487179487,66509.0,129029.31034482758,209543.94444444444
2015-05-17,319914.7435897436,66509.0,111124.13793103448,197882.1388888889
2015-05-18,318861.858974359,66509.0,107000.57471264368,195432.83333333334
2015-05-19,299541.3461538461,66509.0,132747.7011494253,199505.05555555556
2015-05-20,314443.58974358975,66509.0,120888.50574712643,200230.75
2015-05-21,314331.41025641025,66509.0,127512.06896551725,203383.52777777778
2015-05-22,328305.76923076925,66509.0,123753.44827586207,207622.41666666666
2015-05-23,333544.5512820513,66509.0,121144.25287356322,208631.44444444444
2015-05-24,338900.32051282056,66509.0,122434.4827586207,211575.8888888889
2015-05-25,316515.7051282051,66509.0,119489.08045977012,200452.27777777778
2015-05-26,319538.14102564106,66509.0,114241.9540229885,199225.8888888889
2015-05-27,328301.60256410256,66509.0,113323.85057471263,202579.6388888889
2015-05-28,325333.6538461539,66509.0,118414.36781609195,203753.94444444444
2015-05-29,328601.28205128206,65692.33333333333,116517.81609195402,204185.19444444444
2015-05-30,340338.46153846156,64025.66666666667,118803.73563218392,210237.27777777778
2015-05-31,345894.5512820513,78886.25,116698.85057471263,215136.77966101695
2015-06-01,333278.0864197531,78886.25,122592.5287356322,214487.27777777778
