fecha,vertimientos
2011-06-30,7022116.32
2011-07-01,22109405.14077
2011-07-02,16145064.75972
2011-07-03,17083981.95972
2011-07-04,17870394.28055
2011-07-05,15830342.89655
2011-07-06,25040363.04771
2011-07-07,31278691.34121
2011-07-08,20146507.76682
2011-07-09,15965326.9332
2011-07-10,18578884.89665
2011-07-11,17438785.88772
2011-07-12,13469704.896
2011-07-13,17098177.03994
2011-07-14,14817430.91172
2011-07-15,11057412.888
2011-07-16,20958375.87227
2011-07-17,12050383.52027
2011-07-18,23576387.87222
2011-07-19,24956628.34427
2011-07-20,22193616.89693
2011-07-21,20292946.11227
2011-07-22,18601376.688
2011-07-23,28811251.91172
2011-07-24,28440712.73511
2011-07-25,17060433.75343
2011-07-26,16541422.63404
2011-07-27,10047851.12772
2011-07-28,197305.08
2011-07-29,1029083.64
2011-07-30,2400877.67172
2011-07-31,3842391.6
2011-08-01,2550250.44
2011-08-02,3143529.624
2011-08-03,1486747.92
2011-08-04,736206.26941
2011-08-05,186740.00586
2011-08-15,15275.232
2011-08-16,546173.952
2011-08-17,2158547.16
2011-08-18,3282767.58422
2011-08-19,25317277.61543
2011-08-20,4830692.62983
2011-08-21,1264887.0601
2011-08-22,2446283.52
2011-08-23,2799086.38999
2011-08-24,9611554.85418
2011-08-25,10941170.52
2011-08-26,7198512.79566
2011-08-27,3498267.576
2011-08-28,7838242.56
2011-08-29,6005373.84
2011-08-30,5709834.48
2011-08-31,4231911.84
2011-09-01,1046526.47222
2011-09-02,240867.84
2011-09-03,207138.72
2011-09-04,162776.17555
2011-09-05,214951.68
2011-09-06,248871.36
2011-09-07,3475908.94444
2011-09-08,5191747.44
2011-09-09,7148043.82444
2011-09-10,4596654.96
2011-09-11,5743082.88
2011-09-12,44945254.83666
2011-09-13,41507776.81555
2011-09-14,9113922.0
2011-09-15,7294604.4
2011-09-16,6564382.32
2011-09-17,3934981.69555
2011-09-18,8068360.33555
2011-09-19,5243812.08777
2011-09-20,17539596.84
2011-09-21,13325003.544
2011-09-22,15397280.64777
2011-09-23,8992786.76755
2011-09-24,5399263.92
2011-09-25,2734082.82235
2011-09-26,2890913.256
2011-09-27,3695039.52
2011-09-28,6411935.04
2011-09-29,7672458.00777
2011-09-30,11322424.8
2011-10-01,11452849.92
2011-10-02,11384820.72
2011-10-03,15380938.55222
2011-10-04,12652819.44
2011-10-05,12715438.08
2011-10-06,12715078.08
2011-10-07,19556381.04
2011-10-08,19797069.60777
2011-10-09,12578966.14444
2011-10-10,12172111.64449
2011-10-11,14726410.152
2011-10-12,11159199.648
2011-10-13,8120461.608
2011-10-14,5275381.90444
2011-10-15,12554981.62749
2011-10-16,10281026.50563
2011-10-17,20295228.552
2011-10-18,16624692.16983
2011-10-19,24153829.10657
2011-10-20,13474465.556
2011-10-21,7555819.456
2011-10-22,9415438.388
2011-10-23,4355023.1735
2011-10-24,5046241.03566
2011-10-25,26881728.16
2011-10-26,4110896.784
2011-10-27,6564086.928
2011-10-28,8852217.52433
2011-10-29,20249073.60216
2011-10-30,34481751.98249
2011-10-31,17142508.292
2011-11-01,7432536.144
2011-11-02,3844065.072
2011-11-03,2715213.12777
2011-11-04,2517373.91222
2011-11-05,4665671.04
2011-11-06,7558547.808
2011-11-07,5926839.49488
2011-11-08,6212390.60888
2011-11-09,4907907.73027
2011-11-10,5158720.032
2011-11-11,2147308.872
2011-11-12,1066264.656
2011-11-13,2886156.408
2011-11-14,4084935.35222
2011-11-15,6863659.728
2011-11-16,6011561.856
2011-11-17,27344627.76
2011-11-18,52700904.952
2011-11-19,47002472.99441
2011-11-20,82568432.72071
2011-11-21,45972816.192
2011-11-22,45472616.716
2011-11-23,38310336.408
2011-11-24,40920028.92013
2011-11-25,39027045.0596
2011-11-26,36139502.304
2011-11-27,35367489.54833
2011-11-28,36154848.216
2011-11-29,53107456.0661
2011-11-30,55161604.51538
2011-12-01,46669999.68
2011-12-02,41387811.0096
2011-12-03,33517056.078
2011-12-04,30995250.288
2011-12-05,28939826.64
2011-12-06,51228589.38141
2011-12-07,86912551.55916
2011-12-08,74915372.0006
2011-12-09,52893403.32844
2011-12-10,42460277.01412
2011-12-11,38153381.98746
2011-12-12,50343313.53666
2011-12-13,52655806.872
2011-12-14,49223672.89711
2011-12-15,51256471.03732
2011-12-16,53973490.73251
2011-12-17,57573916.73132
2011-12-18,74088621.96876
2011-12-19,57398659.41788
2011-12-20,63049209.12186
2011-12-21,55988463.98681
2011-12-22,36699232.5851
2011-12-23,33162177.64143
2011-12-24,33131947.53777
2011-12-25,31784203.656
2011-12-26,34512180.468
2011-12-27,15302718.12033
2011-12-28,14208972.73966
2011-12-29,20684073.396
2011-12-30,40446571.33988
2011-12-31,18054458.3
2012-01-01,8511274.828
2012-01-02,6761970.47933
2012-01-03,7940396.448
2012-01-04,7747441.32299
2012-01-05,8368896.516
2012-01-06,8556951.196
2012-01-07,9444161.23955
2012-01-08,8827082.62822
2012-01-09,6865819.60766
2012-01-10,5389671.524
2012-01-11,7925768.656
2012-01-12,7392774.768
2012-01-13,5377843.34002
2012-01-14,5840365.384
2012-01-15,7683554.76
2012-01-16,4181978.616
2012-01-17,3580298.14444
2012-01-18,5580029.63955
2012-01-19,6007563.504
2012-01-20,4811236.116
2012-01-21,5422603.776
2012-01-22,7691486.316
2012-01-23,8780181.96919
2012-01-24,11696312.096
2012-01-25,12433924.77432
2012-01-26,8816130.444
2012-01-27,7106584.032
2012-01-28,4210822.368
2012-01-29,6013885.424
2012-01-30,9337845.84
2012-01-31,7714030.592
2012-02-01,6990498.624
2012-02-02,4879951.93622
2012-02-03,3492715.832
2012-02-04,4689412.512
2012-02-05,4970595.91266
2012-02-06,4395723.83222
2012-02-07,2252101.848
2012-02-08,978165.72
2012-02-09,4296613.52677
2012-02-10,6115951.17065
2012-02-11,1972381.88088
2012-02-12,1428171.648
2012-02-13,1686198.912
2012-02-14,497780.65555
2012-02-27,407455.21555
2012-02-28,1086573.12
2012-02-29,849516.48
2012-03-01,656784.00777
2012-03-02,659413.91222
2012-03-03,1519716.0
2012-03-04,2589329.28
2012-03-05,4118382.72
2012-03-06,861102.70444
2012-03-07,475637.76
2012-03-08,195781.43222
2012-03-09,831908.64777
2012-03-10,1120111.68
2012-03-11,177983.04
2012-03-15,74699.52
2012-03-16,1409762.88
2012-03-17,2101876.8
2012-03-18,764907.84
2012-03-19,921281.28777
2012-03-20,4197824.06555
2012-03-21,5926352.47277
2012-03-22,948696.305
2012-03-23,50647.35
2012-03-24,1729394.03999
2012-03-25,6624640.27888
2012-03-26,5812030.58944
2012-03-27,4237158.36944
2012-03-28,5267305.33
2012-03-29,5161909.10111
2012-03-30,5031108.40055
2012-03-31,4917348.58111
2012-04-01,4889566.96055
2012-04-02,3892227.52166
2012-04-06,1428856.81555
2012-04-07,3337544.15222
2012-04-08,3091645.44
2012-04-09,4377925.44
2012-04-10,5232282.23222
2012-04-11,5937572.57511
2012-04-12,7041437.76
2012-04-13,7437831.36
2012-04-14,7254138.0
2012-04-15,12937545.84
2012-04-16,5332364.06749
2012-04-17,5064931.68
2012-04-18,5438741.30583
2012-04-19,4987739.904
2012-04-20,2784033.86583
2012-04-21,1013921.76
2012-04-22,575028.45966
2012-04-23,462647.61188
2012-04-24,2893639.89583
2012-04-25,2743408.56
2012-04-26,4359376.7401
2012-04-27,4110948.26033
2012-04-28,3408876.21121
2012-04-29,3445555.25166
2012-04-30,3321861.648
2012-05-01,7747254.24
2012-05-02,7546266.68111
2012-05-03,24074902.24088
2012-05-04,23743600.35621
2012-05-05,23919624.76355
2012-05-06,22901507.57399
2012-05-07,26073285.17244
2012-05-08,25320380.64733
2012-05-09,20625548.90143
2012-05-10,9708036.864
2012-05-11,10267052.256
2012-05-12,32855134.18133
2012-05-13,50441553.64
2012-05-14,39228212.59155
2012-05-15,34225552.184
2012-05-16,25807692.69766
2012-05-17,8128771.824
2012-05-18,9285926.688
2012-05-19,9260716.95955
2012-05-20,8176139.26032
2012-05-21,8811769.464
2012-05-22,28964224.50311
2012-05-23,28743537.71976
2012-05-24,27802563.15488
2012-05-25,23222917.00221
2012-05-26,13193921.136
2012-05-27,11414555.69577
2012-05-28,8850234.792
2012-05-29,8331972.048
2012-05-30,8054212.95888
2012-05-31,7296924.75427
2012-06-01,6266365.83244
2012-06-02,23663542.88288
2012-06-03,19159310.98933
2012-06-04,3194166.72
2012-06-05,2680302.71222
2012-06-06,2165256.96777
2012-06-07,1974582.72
2012-06-08,15959557.01333
2012-06-09,107094.72
2012-06-11,22888311.91166
2012-06-12,17439385.6
2012-06-13,17392691.2
2012-06-16,14778777.6
2012-06-21,18484.32
2012-06-22,3696.95222
2012-07-15,8757794.13333
2012-07-16,22960025.6
2012-07-19,6293250.0
2012-07-20,20802687.5
2012-07-23,7928428.5
2012-07-24,62445941.14444
2012-07-25,23204798.4
2012-07-26,52180123.01111
2012-07-27,65649502.4
2012-07-28,57000052.24444
2012-07-29,80343990.2
2012-07-30,108778609.94444
2012-07-31,136719009.95555
2012-08-01,108242130.45555
2012-08-02,15086982.4
2012-08-05,29071102.38888
2012-08-06,22113781.25
2012-08-08,23861906.25
2012-08-09,39507625.0
2012-08-10,41955000.0
2012-08-11,13285750.0
2012-08-28,672070.88
2012-08-29,38060421.58721
2012-08-30,62734831.12277
2012-08-31,14442376.255
2012-09-01,3347736.68888
2012-09-10,129961.92
2012-09-11,763002.24
2012-09-12,1118206.08
2012-09-13,1165083.84
2012-09-14,878634.22444
2012-09-15,1231398.72
2012-09-16,1719613.44
2012-09-17,1915128.0
2012-09-18,2053017.12777
2012-09-19,3367233.13555
2012-09-20,3207887.04
2012-09-21,3475814.4
2012-09-22,2877074.88
2012-09-23,1706655.36
2012-09-24,1481794.56
2012-09-25,1938071.51222
2012-09-26,2042574.70444
2012-09-27,1913984.64
2012-09-28,1699795.2
2012-09-29,1870727.52
2012-09-30,2360657.28
2012-10-01,2821393.42444
2012-10-02,4172501.76
2012-10-03,4294841.28
2012-10-04,3356180.65555
2012-10-05,3974662.54444
2012-10-06,1367687.49666
2012-10-07,879396.46444
2012-10-08,1478364.48
2012-10-09,696191.99222
2012-10-10,141395.52
