fecha,aportes_energia
2012-01-12,97810500.0
2012-01-13,97113900.0
2012-01-14,143165100.0
2012-01-15,136531800.0
2012-01-16,106554800.0
2012-01-17,108005900.0
2012-01-18,167215700.0
2012-01-19,141091100.0
2012-01-20,130799100.0
2012-01-21,141831500.0
2012-01-22,157061700.0
2012-01-23,139456800.0
2012-01-24,136526700.0
2012-01-25,126647800.0
2012-01-26,119893500.0
2012-01-27,112594900.0
2012-01-28,103310800.0
2012-01-29,119169800.0
2012-01-30,128273700.0
2012-01-31,130429000.0
2012-02-01,101132500.0
2012-02-02,94353900.0
2012-02-03,79193300.0
2012-02-04,83905300.0
2012-02-05,92843600.0
2012-02-06,181087400.0
2012-02-07,136276400.0
2012-02-08,170751300.0
2012-02-09,124943400.0
2012-02-10,103065500.0
2012-02-11,100797800.0
2012-02-12,95060100.0
2012-02-13,82555000.0
2012-02-14,89463600.0
2012-02-15,83980100.0
2012-02-16,74392800.0
2012-02-17,73601800.0
2012-02-18,72777800.0
2012-02-19,64941500.0
2012-02-20,65883700.0
2012-02-21,63478800.0
2012-02-22,62000800.0
2012-02-23,58568100.0
2012-02-24,59902300.0
2012-02-25,69450900.0
2012-02-26,71778300.0
2012-02-27,72599900.0
2012-02-28,85199800.0
2012-02-29,81800300.0
2012-03-01,85996200.0
2012-03-02,70383400.0
2012-03-03,111029200.0
2012-03-04,136037200.0
2012-03-05,143828200.0
2012-03-06,89705200.0
2012-03-07,76605300.0
2012-03-08,71098400.0
2012-03-09,99936800.0
2012-03-10,95004600.0
2012-03-11,91855500.0
2012-03-12,126843300.0
2012-03-13,101740000.0
2012-03-14,81766800.0
2012-03-15,77877100.0
2012-03-16,88769900.0
2012-03-17,153772100.0
2012-03-18,109068300.0
2012-03-19,137890900.0
2012-03-20,141234300.0
2012-03-21,133300600.0
2012-03-22,187388100.0
2012-03-23,120752300.0
2012-03-24,160988800.0
2012-03-25,158330500.0
2012-03-26,167183800.0
2012-03-27,162742900.0
2012-03-28,156036800.0
2012-03-29,122451800.0
2012-03-30,205486900.0
2012-03-31,156569700.0
2012-04-01,129805100.0
2012-04-02,169693300.0
2012-04-03,183119500.0
2012-04-04,136570700.0
2012-04-05,130568100.0
2012-04-06,126299500.0
2012-04-07,250077500.0
2012-04-08,207730800.0
2012-04-09,194523500.0
2012-04-10,247069500.0
2012-04-11,333093000.0
2012-04-12,517632300.0
2012-04-13,347106800.0
2012-04-14,288330100.0
2012-04-15,269047800.0
2012-04-16,275769300.0
2012-04-17,244082200.0
2012-04-18,255631000.0
2012-04-19,303444500.0
2012-04-20,252274900.0
2012-04-21,292257200.0
2012-04-22,396714200.0
2012-04-23,252105800.0
2012-04-24,273472800.0
2012-04-25,244455700.0
2012-04-26,230005700.0
2012-04-27,222704300.0
2012-04-28,270542300.0
2012-04-29,209622600.0
2012-04-30,198442700.0
2012-05-01,493823300.0
2012-05-02,366513000.0
2012-05-03,303038700.0
2012-05-04,253536000.0
2012-05-05,241433300.0
2012-05-06,237151600.0
2012-05-07,278265100.0
2012-05-08,269634000.0
2012-05-09,281482600.0
2012-05-10,235138900.0
2012-05-11,241724000.0
2012-05-12,388008400.0
2012-05-13,282367300.0
2012-05-14,234603100.0
2012-05-15,176028800.0
2012-05-16,170656500.0
2012-05-17,157832600.0
2012-05-18,191446500.0
2012-05-19,239484200.0
2012-05-20,196336800.0
2012-05-21,255090000.0
2012-05-22,335508100.0
2012-05-23,297073600.0
2012-05-24,238047100.0
2012-05-25,215836400.0
2012-05-26,278002700.0
2012-05-27,172127500.0
2012-05-28,179533600.0
2012-05-29,159485600.0
2012-05-30,149675000.0
2012-05-31,135685200.0
2012-06-01,203347500.0
2012-06-02,216237300.0
2012-06-03,178986800.0
2012-06-04,136241100.0
2012-06-05,131390900.0
2012-06-06,119287500.0
2012-06-07,182170100.0
2012-06-08,182679400.0
2012-06-09,139678000.0
2012-06-10,190228800.0
2012-06-11,228414800.0
2012-06-12,233707400.0
2012-06-13,230759000.0
2012-06-14,195019500.0
2012-06-15,192950000.0
2012-06-16,234041100.0
2012-06-17,156293500.0
2012-06-18,147981400.0
2012-06-19,122012300.0
2012-06-20,117720200.0
2012-06-21,163490800.0
2012-06-22,108840000.0
2012-06-23,97607000.0
2012-06-24,98978100.0
2012-06-25,120920700.0
2012-06-26,141042000.0
2012-06-27,157888500.0
2012-06-28,164857000.0
2012-06-29,137958100.0
2012-06-30,191842900.0
2012-07-01,225362000.0
2012-07-02,150618200.0
2012-07-03,162165600.0
2012-07-04,171056100.0
2012-07-05,164933800.0
2012-07-06,185875600.0
2012-07-07,157701900.0
2012-07-08,117847100.0
2012-07-09,115895400.0
2012-07-10,142991200.0
2012-07-11,171130300.0
2012-07-12,206509200.0
2012-07-13,159275100.0
2012-07-14,203663200.0
2012-07-15,273469600.0
2012-07-16,172327200.0
2012-07-17,136939300.0
2012-07-18,144287800.0
2012-07-19,162168200.0
2012-07-20,133453500.0
2012-07-21,110247300.0
2012-07-22,137048700.0
2012-07-23,200737100.0
2012-07-24,221837800.0
2012-07-25,163263500.0
2012-07-26,221985700.0
2012-07-27,218549600.0
2012-07-28,259354800.0
2012-07-29,226648500.0
2012-07-30,360709900.0
2012-07-31,256313200.0
2012-08-01,256830300.0
2012-08-02,194137700.0
2012-08-03,155118900.0
2012-08-04,183108600.0
2012-08-05,185969200.0
2012-08-06,163052300.0
2012-08-07,131157200.0
2012-08-08,173131200.0
2012-08-09,183343500.0
2012-08-10,161412500.0
2012-08-11,143134600.0
2012-08-12,135227100.0
2012-08-13,185946800.0
2012-08-14,186905800.0
2012-08-15,194965900.0
2012-08-16,141063700.0
2012-08-17,239951400.0
2012-08-18,175520200.0
2012-08-19,185039600.0
2012-08-20,222618500.0
2012-08-21,139657200.0
2012-08-22,150480900.0
2012-08-23,212065700.0
2012-08-24,153040900.0
2012-08-25,161077700.0
2012-08-26,277058700.0
2012-08-27,170212900.0
2012-08-28,137313400.0
2012-08-29,192033100.0
2012-08-30,158847200.0
2012-08-31,146297000.0
2012-09-01,136246900.0
2012-09-02,109425200.0
2012-09-03,146170200.0
2012-09-04,126105500.0
2012-09-05,151042800.0
2012-09-06,121496500.0
2012-09-07,101914400.0
2012-09-08,113574000.0
2012-09-09,119575900.0
2012-09-10,133600700.0
2012-09-11,134232000.0
2012-09-12,117321600.0
2012-09-13,122150400.0
2012-09-14,103228200.0
2012-09-15,112082900.0
2012-09-16,94164800.0
2012-09-17,106934300.0
2012-09-18,115414600.0
2012-09-19,109204300.0
2012-09-20,109513900.0
2012-09-21,116898800.0
