fecha,gen_hidraulica,gen_no_termica,gen_termica,generacion
2010-09-11,130304577.43,4634588.93,21355889.169999998,156295055.53
2010-09-12,114200061.92,3445127.75,21271109.0,138916298.67000002
2010-09-13,139674829.66,2218776.64,20156759.240000002,162050365.54
2010-09-14,139387408.96,2655455.18,23104160.03,165147024.17
2010-09-15,143550984.31,2432598.55,21805062.59,167788645.45
2010-09-16,138689421.17,2063039.79,25193306.85,165945767.81
2010-09-17,139634928.61,3129485.58,23157361.169999998,165921775.35999998
2010-09-18,130638449.76,2021328.49,21637885.85,154297664.1
2010-09-19,111048964.97,2050598.19,21270274.47,134369837.63
2010-09-20,129924430.78,2038655.98,24016739.62,155979826.38
2010-09-21,135251596.28,1961323.05,22644458.72,159857378.05
2010-09-22,133819541.45,1883579.85,26841098.43,162544219.73
2010-09-23,130455024.18,3270973.3200000003,29093554.81,162819552.31
2010-09-24,128269032.7,2916712.05,29347091.700000003,160532836.45
2010-09-25,117328883.02000001,3473359.59,31240732.299999997,152042974.91
2010-09-26,106310388.81,2635900.38,26404159.799999997,135350448.99
2010-09-27,122498165.2,3076689.83,32414046.59,157988901.62
2010-09-28,121567834.34,3593458.18,36292845.11,161454137.63
2010-09-29,126423253.56,2975586.7600000002,34104139.79,163502980.10999998
2010-09-30,129627326.78,3018898.14,31773128.4,164419353.32
2010-10-01,127172063.4,2552164.81,32127197.94,161851426.15
2010-10-02,118395161.09,3789062.12,30639870.110000003,152824093.32
2010-10-03,105733409.75999999,3274437.79,23999441.88,133007289.43
2010-10-04,122991004.74,2992493.7600000002,29883833.91,155867332.41
2010-10-05,121336551.39,3267069.18,33629302.92,158232923.49
2010-10-06,125520668.04,4934183.51,30297860.97,160752712.52
2010-10-07,127011734.55,5180687.84,28444369.09,160636791.48
2010-10-08,131615781.01,3770955.3,26831047.26,162217783.57
2010-10-09,125839747.16,3159034.34,25517061.16,154515842.66
2010-10-10,106539480.93,3580100.02,27419686.86,137539267.81
2010-10-11,131365578.42999999,4095444.41,28472381.46,163933404.3
2010-10-12,130613818.28999999,4326637.2,35756959.03,170697414.52
2010-10-13,131407215.43,4328177.67,36382551.51,172117944.61
2010-10-14,133092837.27,3775486.6,35566908.82,172435232.69
2010-10-15,127914409.24,3561508.98,39432218.6,170908136.82
2010-10-16,121599220.86,4089607.5100000002,33615242.49,159304070.86
2010-10-17,104287233.68,3111137.5300000003,30744768.27,138143139.48
2010-10-18,106754162.52,3009289.1,29282601.37,139046052.99
2010-10-19,126055914.05,3467919.61,34453374.2,163977207.86
2010-10-20,124636244.94,3886972.15,36624592.75,165147809.84
2010-10-21,123374881.54,6008450.279999999,37402776.71,166786108.53
2010-10-22,125098248.25,5612466.66,38227518.07,168938232.98
2010-10-23,120061321.95,6104344.91,32978720.71,159144387.57
2010-10-24,112325606.09,4219468.72,25067899.48,141612974.29
2010-10-25,130442708.88,3879500.62,29124962.36,163447171.86
2010-10-26,130356760.92,4729941.0,32513566.479999997,167600268.4
2010-10-27,132241089.71000001,4412339.9,32138174.51,168791604.12
2010-10-28,132229949.18,3575562.85,31776379.75,167581891.78
