fecha,precio_bolsa,demanda,disp_dec_hidraulica,disp_dec_no_termica,disp_dec_termica,disponibilidad_declarada,gen_hidraulica,gen_no_termica,gen_termica,generacion,aportes_energia,precio_oferta,vol_util,indice_ONI,vertimientos
2017-02-10,169.93532000000002,189637422.67,236342.3245614035,37552.430555555555,111120.02551020408,156715.74579831935,153732035.21,3483603.56,34927076.589999996,192142715.36,71713600.0,253.39090384615383,10892163700.0,-0.2,3194453.21666
2017-02-11,154.75843833333326,177210752.15999997,237925.92105263157,37547.916666666664,108486.88095238095,156338.83333333334,148390240.06,3503709.75,27809168.92,179703118.73,83742100.0,268.9176346153846,10806000600.0,-0.2,3113276.17055
2017-02-12,145.22158166666665,160290330.32999998,225054.26964149508,37319.791666666664,108495.45238095237,150555.7715260017,132450569.49,3565441.52,26568693.95,162584704.96,94658700.0,261.78276923076925,10759303000.0,-0.2,2582997.75
2017-02-13,188.03700333333327,183979880.88,237120.70175438595,37538.541666666664,99911.33432539682,151835.54886489478,153829935.65,3406492.56,30905707.349999998,188142135.56,94827300.0,260.23003846153847,10688151900.0,-0.2,1967735.13194
2017-02-14,196.78371000000007,186837537.05000004,231899.6052631579,37548.958333333336,104487.20238095238,151997.93627450982,147375441.13,4205644.14,37628711.97,189209797.24,73603700.0,259.86292307692304,10603287200.0,-0.2,527061.45138
2017-02-15,196.37335666666664,188007044.36,233648.12977419628,37211.11111111112,107862.56868131869,154121.7902188111,145243198.93,4253829.42,40726914.57,190223942.92,62891100.0,257.78411538461535,10510998800.0,-0.2,
2017-02-16,168.75559499999994,190148822.10999998,234808.58033240997,37022.569444444445,103880.5502946128,152403.4499601276,142611124.76,4331949.89,45573113.67,192516188.32,64218900.0,250.4426346153846,10413615500.0,-0.2,
2017-02-17,162.30256666666673,188023372.44999993,238362.7031394275,37207.98611111112,103907.36607142858,154010.9736186396,142927793.64,4040436.5799999996,43235999.97,190204230.19,73935000.0,240.54661538461536,10338167000.0,-0.2,
2017-02-18,178.15896999999995,177771644.45999998,239991.08033240997,37201.041666666664,102115.7353988604,153979.53519756458,144114051.31,3902233.95,32723575.59,180739860.85,68433100.0,251.58363461538463,10246325600.0,-0.2,
2017-02-19,155.3622966666666,161727050.29000002,246223.94736842107,37212.15277777778,100525.27447089947,155008.72666961522,128720043.55999999,3743385.76,31664363.31,164127792.63,61301600.0,253.22984615384615,10164832000.0,-0.2,
2017-02-20,161.77345666666662,186782579.69,251042.50592697962,37219.444444444445,103157.51869658119,158222.07912598236,152393245.98,3213996.44,33883475.45,189490717.87,65021500.0,250.97907692307692,10066946500.0,-0.2,
2017-02-21,178.51621833333328,188600784.64999992,242014.17259364625,37212.84722222222,103650.75231481482,154500.06630546955,150949776.82,3384056.8200000003,36808657.93,191142491.57,66489300.0,253.74382692307694,9975352300.0,-0.2,
2017-02-22,193.0703216666667,187289050.73000005,239871.1976682565,37226.73611111112,105252.67857142857,154830.9392507003,151219675.4,3445791.41,35219506.27,189884973.08,74993000.0,256.4231538461538,9888841600.0,-0.2,
2017-02-23,197.54560500000002,187736818.36999997,228465.38685744567,37202.430555555555,102171.91633597884,147974.55845279287,148315536.29,3519657.76,38507793.599999994,190342987.65,74542700.0,244.78261538461538,9801050100.0,-0.2,
2017-02-24,190.34700833333332,188703055.70000002,226731.33280339162,37195.48611111112,104702.33961640211,148290.46321469764,148509845.46,3486741.84,39143032.87,191139620.17000002,102071800.0,247.4785576923077,9743105400.0,-0.2,
2017-02-25,192.6528833333334,178058344.11999995,228127.05352411233,37223.26388888888,108744.97619047618,151112.55135387488,141588912.3,3487283.11,35634494.6,180710690.01,98606000.0,247.22436538461537,9682214600.0,-0.2,
2017-02-26,154.1309933333334,158648993.97,245558.76523582404,37188.88888888888,108550.51731601731,158704.87007681862,124626225.56,3888317.39,32538590.970000003,161053133.92,108636100.0,256.49675,9653088400.0,-0.2,
2017-02-27,159.99304999999995,180859016.69999996,248800.43190249076,37204.41176470588,108551.25,160135.26989962652,147306914.53,3481879.86,32929465.06,183718259.45,107894700.0,258.3290192307692,9602124100.0,-0.2,
2017-02-28,153.0524833333333,184069627.53,247430.25386731265,37058.680555555555,108601.83823529411,159531.99878562536,140918487.43,3716193.07,41767762.46,186402442.96,88872800.0,247.3298653846154,9535726100.0,-0.2,
2017-03-01,166.56544333333338,185247321.9,238406.4550685139,34422.756410256414,109840.99264705883,154799.14786748032,137604500.0,3886576.33,45891012.06,187382088.39000002,93428600.0,258.6070384615384,9478894500.0,0.1,
2017-03-02,168.07206333333335,187059380.41,241004.44091149973,36461.458333333336,106788.39285714286,155860.6614729225,146348750.04,3147811.21,39985802.71,189482363.96,113600500.0,263.1758846153846,9437415500.0,0.1,
2017-03-03,159.60637333333332,187743156.70999998,241520.22378819794,36683.680555555555,107016.96428571429,156214.8356765475,142525733.1,3241206.86,44444612.43,190211552.39000002,108144400.0,248.48398076923075,9395806700.0,0.1,
2017-03-04,155.17257333333325,175384527.56000003,244866.70222854434,37214.930555555555,108940.45238095237,158566.22598162072,129757778.78,3873307.75,44060393.2,177691479.73,95416400.0,258.2611346153846,9350504100.0,0.1,
2017-03-05,144.02643666666668,159056112.84,239063.69063390742,37214.930555555555,108924.0238095238,156980.4734598645,117120478.92,3927368.31,40076347.5,161124194.73,95774900.0,257.94946153846155,9322866500.0,0.1,
2017-03-06,142.13452333333336,183965688.61,240735.86795937212,37214.930555555555,110116.96428571429,158219.24587203303,144223884.83,3516357.62,38952742.59,186692985.04,107194700.0,255.6858846153846,9274642200.0,0.1,
2017-03-07,134.30025833333335,184849578.82000002,239932.69321953534,37214.930555555555,108787.15062111801,156329.03675629292,148657358.89000002,3687504.59,34911998.08,187256861.56,132223400.0,254.3676346153846,9250936400.0,0.1,
2017-03-08,128.6920333333333,181672056.88000005,245927.21247563357,37214.930555555555,109244.29347826086,158114.56731962174,149588375.62,3933508.37,30418214.38,183940098.37,181674400.0,257.6298076923077,9256002200.0,0.1,
2017-03-09,138.66554,184538326.31999996,242191.62094369915,37218.75,109204.7193877551,156478.17509089876,146037416.77,3964060.14,31736699.93,181738176.84,161911700.0,255.64163461538462,9258821200.0,0.1,
2017-03-10,123.87282500000002,184247434.84000003,250068.7091503268,37136.458333333336,117105.69852941176,163776.88755380202,150605819.22,3762257.6100000003,27461041.860000003,181829118.69,153855800.0,246.51367307692306,9243319300.0,0.1,
2017-03-11,128.5807733333334,175312706.58999997,234671.76205617381,37178.125,108625.57142857143,153939.13923902894,143688579.89000002,3766790.35,24671012.060000002,172126382.3,136685700.0,241.93159615384613,9226507100.0,0.1,
2017-03-12,130.62061666666668,154410658.12,212369.7061168965,37212.84722222222,111682.57352941176,146592.98213224683,123822206.14,3818991.09,23422074.78,151063272.01,205372600.0,240.1765,9303471100.0,0.1,
2017-03-13,133.51985333333337,180229667.51,225569.9892109954,37097.569444444445,105415.77380952382,149486.85301981756,129807099.91,3664069.77,41634601.42,175105771.1,168616300.0,246.0796923076923,9328854800.0,0.1,
