Id,Values_Code,Values_Name,Values_Type,Values_Disp,Values_RecType,Values_CompanyCode,Values_EnerSource,Values_OperStartdate,Values_State,Date
Sistema,3III,AGPE JAVIER DARIO MONSALVO BOLIVAR,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,NEUC,RAD SOLAR,2023-08-10,OPERACION,2024-05-13
Sistema,3IIK,AGPE CLAUDIA MARCELA OTALORA MAHECHA,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,NEUC,RAD SOLAR,2023-08-10,OPERACION,2024-05-13
Sistema,3IIM,AGPE JESUS ANTONIO BALLESTEROS GALVIS,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,NEUC,RAD SOLAR,2023-08-10,OPERACION,2024-05-13
Sistema,3IIO,AGPE VIVA MAYALES SAS,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,NEUC,RAD SOLAR,2023-08-10,OPERACION,2024-05-13
Sistema,3IIQ,AGPE PLANTA LUBRICANTES,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,TPLC,RAD SOLAR,2023-08-10,OPERACION,2024-05-13
Sistema,3IIT,AGPE MIL VARIEDADES I,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,GNCC,RAD SOLAR,2023-08-10,OPERACION,2024-05-13
Sistema,3IIV,AGPE COLEGIO BERCHMANS,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,EPSC,RAD SOLAR,2023-08-10,OPERACION,2024-05-13
Sistema,3IJF,AUTOG COSTAYACO,TERMICA,NO DESPACHADO CENTRALMENTE,AUTOGENERADOR,DEPG,GAS,2023-09-04,OPERACION,2024-05-13
Sistema,3IML,AGPE BODYTECH COLINA,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,EXEC,RAD SOLAR,2023-08-31,OPERACION,2024-05-13
Sistema,3IMN,AGPE BODYTECH CHAPINERO,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,EXEC,RAD SOLAR,2023-08-31,OPERACION,2024-05-13
Sistema,3INT,AGPE JOSE ALFREDO GNECCO ZULETA,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,NEUC,RAD SOLAR,2023-09-07,OPERACION,2024-05-13
Sistema,3INX,CARACOLI I,SOLAR,DESPACHADO CENTRALMENTE,NORMAL,SDCG,RAD SOLAR,2023-07-31,PRUEBAS,2024-05-13
Sistema,3IOY,AGPE NORMANDY,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,EPMC,RAD SOLAR,2023-09-14,OPERACION,2024-05-13
Sistema,3IP1,AGPE FLORES DEL ZORRO,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,ETTC,RAD SOLAR,2023-09-14,OPERACION,2024-05-13
Sistema,3IP3,AGPE LUZ MILA MORELLI SOCARRAS,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,NEUC,RAD SOLAR,2023-09-14,OPERACION,2024-05-13
Sistema,3IP5,AGPE INVERSIONES VILLA ROSA DEL CESAR,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,NEUC,RAD SOLAR,2023-09-14,OPERACION,2024-05-13
Sistema,3IP7,AGPE ALCIELO CONSTRUCTORA,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,SCEC,RAD SOLAR,2023-09-14,OPERACION,2024-05-13
Sistema,3IQ2,AGPE LA CALI PRINCIPAL,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,GNCC,RAD SOLAR,2023-09-14,OPERACION,2024-05-13
Sistema,3IQA,SUNNORTE,SOLAR,DESPACHADO CENTRALMENTE,NORMAL,GNSG,RAD SOLAR,2022-12-31,PRUEBAS,2024-05-13
Sistema,3IRI,ITUANGO_P,HIDRAULICA,DESPACHADO CENTRALMENTE,NORMAL,EPMG,AGUA,2022-12-31,PRUEBAS,2024-05-13
Sistema,3IRX,PORTON DEL SOL,SOLAR,DESPACHADO CENTRALMENTE,NORMAL,PDSG,RAD SOLAR,2024-03-08,OPERACION,2024-05-13
Sistema,3IRZ,LA CASCADA DE GRANADA,HIDRAULICA,NO DESPACHADO CENTRALMENTE,NORMAL,SFEG,AGUA,2023-09-30,OPERACION,2024-05-13
Sistema,3IS2,PARQUE SOLAR ARENAL,SOLAR,NO DESPACHADO CENTRALMENTE,NORMAL,NTCG,RAD SOLAR,2023-12-30,OPERACION,2024-05-13
Sistema,3ISD,AGPE ORF SA,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,ISGC,RAD SOLAR,2023-10-01,OPERACION,2024-05-13
Sistema,3ITE,AGPE UNICOR JUANITA ISAZA,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,NEUC,RAD SOLAR,2023-10-05,OPERACION,2024-05-13
Sistema,3ITG,AGPE INVERSIONES MONGNE,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,NEUC,RAD SOLAR,2023-10-05,OPERACION,2024-05-13
Sistema,3ITI,AGPE GERMAN FRANCISCO MORON,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,NEUC,RAD SOLAR,2023-10-05,OPERACION,2024-05-13
Sistema,3ITK,AGPE INDUSTRIAS MACAR PALMIRA,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,QIEC,RAD SOLAR,2023-10-05,OPERACION,2024-05-13
Sistema,3ITM,AGPE HACIENDA SAN FELIPE,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,GNCC,RAD SOLAR,2023-10-05,OPERACION,2024-05-13
