MetricId,MetricName,Entity,MaxDays,Type,Url,Filter,MetricUnits,MetricDescription
DemaRealReg,Demanda Real Regulada Sistema,Sistema,31,HourlyEntities,http://servapibi.xm.com.co/hourly,No aplica,kWh,Demanda de usuarios regulados y no regulados que hacen parte del Sistema Interconectado Nacional (no incluye Alumbrado Público)
DemaReal,Demanda Real por Agente,Agente,31,HourlyEntities,http://servapibi.xm.com.co/hourly,Codigo Comercializador,kWh,Demanda de usuarios regulados y no regulados que hacen parte del Sistema Interconectado Nacional (no incluye Alumbrado Público)
DemaReal,Demanda Real por Sistema,Sistema,31,HourlyEntities,http://servapibi.xm.com.co/hourly,No aplica,kWh,Demanda de usuarios regulados y no regulados que hacen parte del Sistema Interconectado Nacional (no incluye Alumbrado Público)
EscDemUPMEAlto,Demanda de Energia Proyectada UPME Escenario Alto por Sistema,Sistema,731,MonthlyEntities,http://servapibi.xm.com.co/monthly,No aplica,kWh,proyecciones de demanda de energía realizada por la UPME 
EscDemUPMEBajo,Demanda de Energia Proyectada UPME Escenario Bajo por Sistema,Sistema,731,MonthlyEntities,http://servapibi.xm.com.co/monthly,No aplica,kWh,Generación neta de cada una de las plantas en sus puntos de frontera. Incluye las importaciones Internacionales
EscDemUPMEMedio,Demanda de Energia Proyectada UPME Escenario Medio por Sistema,Sistema,731,MonthlyEntities,http://servapibi.xm.com.co/monthly,No aplica,kWh,proyecciones de demanda de energía realizada por la UPME
DemaOR,Demanda por OR por Agente,Agente,31,HourlyEntities,http://servapibi.xm.com.co/hourly,Codigo Distribuidor,kWh,"Demanda real del OR sin referir al STN, excluyendo la demanda de los usuarios conectados directamente al STN. Es decir que no se consideran las perdidas existentes en el STN."
DescMasa,Descargas por Embalse,Embalse,31,DailyEntities,http://servapibi.xm.com.co/daily,Nombre Embalse,Miles m3,"Agua descargada del embalse por compuertas de fondo o cualquier otro sistema, expresado en miles m3."
DesvEner,Desviaciones Energía por Recurso,Recurso,31,HourlyEntities,http://servapibi.xm.com.co/hourly,Codigo Submercado Generación,kWh,Es la cantidad de energía que se desvía una Central cuando incumple el programa de generación
DesvMoneda,Desviaciones Moneda por Recurso,Recurso,31,HourlyEntities,http://servapibi.xm.com.co/hourly,Codigo Submercado Generación,COP,Es la cantidad de energía que se desvía una Central cuando incumple el programa de generación
DesvMoneda,Desviaciones Moneda por Sistema,Sistema,31,HourlyEntities,http://servapibi.xm.com.co/hourly,No aplica,COP,Es la cantidad de energía que se desvía una Central cuando incumple el programa de generación
DispoCome,Disponibilidad Comercial por Recurso,Recurso,31,HourlyEntities,http://servapibi.xm.com.co/hourly,Codigo Submercado Generación,kW,"Considera la declaración de disponibilidad de los generadores, modificada cuando se presentan cambios en las unidades de generación en operación real del Sistema"
DispoDeclarada,Disponibilidad Declarada por Recurso,Recurso,31,HourlyEntities,http://servapibi.xm.com.co/hourly,Codigo Submercado Generación,kWh,"Máxima cantidad de potencia neta que un generador puede suministrar al sistema durante el intervalo de tiempo determinado para el despacho económico o el redespacho, reportada diariamente en la oferta"
DispoReal,Disponibilidad Real por Recurso,Recurso,31,HourlyEntities,http://servapibi.xm.com.co/hourly,Codigo Submercado Generación,kW,"Disponibilidad promedio calculada a partir de la fecha de los eventos que modifican la disponibilidad de las unidades de generacion de los generadores, asi como de la disponibilidad reportada al Centr"
EjecGarantRestr,Ejecución de Garantías por Sistema,Sistema,31,HourlyEntities,http://servapibi.xm.com.co/hourly,No aplica,COP,"Ejecución de Garantías (Res. CREG 071 de 2006):“Valor (horario, diario y mensual) a favor de los comercializadores por ejecución de garantías del Cargo por Confiabilidad”; la regla de negocio es la Re"
EmisionesCH4,Emisiones de CH4 por RecursoComb,RecursoComb,31,HourlyEntities,http://servapibi.xm.com.co/hourly,Codigo Submercado Generación,TonCH4,"Emisiones totales de Dióxido de Carbono –CH4 de las plantas de generación registradas ante el CND, incluye tanto las obtenidas con base en el reporte de consumo de combustible como las aproximadas por"
EmisionesCO2Eq,Emisiones de CO2 Eq por Recurso,Recurso,31,HourlyEntities,http://servapibi.xm.com.co/hourly,Codigo Submercado Generación,gCO2e/kWh,Emisiones totales de Dióxido de Carbono. Para convertir las emisiones de CH4 y N2O se tomaron las sigueintes equivalencias 1 tonCH4= 21 tonCO2e y 1 tonN2O= 310 tonCO2e
factorEmisionCO2e,Emisiones de CO2 Eq/kWh por Sistema,Sistema,31,HourlyEntities,http://servapibi.xm.com.co/hourly,No aplica,gCO2e/kWh,Factor de emision de CO2 equivalente. Corresponde al Margen de Operación Simple (OM) el cual se obtiene como el cociente entre la generación real Sistema y las emisiones de CO2. Para convertir las emi
